Program, Package , Core(s) , GPU , DRAM? , Time (milisec) 
C/quick , 0.018616 , 0.006653 , 0.000000 , 0.000000 ,  5.437 
C/quick , 0.023682 , 0.009583 , 0.000000 , 0.000000 ,  5.351 
C/quick , 0.020142 , 0.006470 , 0.000000 , 0.000000 ,  5.235 
C/quick , 0.022339 , 0.006775 , 0.000000 , 0.000000 ,  5.454 
C/quick , 0.026184 , 0.008484 , 0.000000 , 0.000000 ,  5.921 
C/quick , 0.018494 , 0.006226 , 0.000000 , 0.000000 ,  5.801 
C/quick , 0.016296 , 0.006165 , 0.000000 , 0.000000 ,  5.437 
C/quick , 0.021545 , 0.006165 , 0.000000 , 0.000000 ,  5.947 
C/quick , 0.023376 , 0.006592 , 0.000000 , 0.000000 ,  6.372 
C/quick , 0.018372 , 0.006287 , 0.000000 , 0.000000 ,  5.949 
Program, Package , Core(s) , GPU , DRAM? , Time (milisec) 
C/bubble , 0.269714 , 0.191650 , 0.000000 , 0.000000 ,  34.485 
C/bubble , 0.224121 , 0.113770 , 0.000000 , 0.000000 ,  50.534 
C/bubble , 0.229675 , 0.147827 , 0.000000 , 0.000000 ,  38.384 
C/bubble , 0.240784 , 0.153381 , 0.000000 , 0.000000 ,  37.013 
C/bubble , 0.241028 , 0.162170 , 0.000000 , 0.000000 ,  37.88 
C/bubble , 0.239014 , 0.154114 , 0.000000 , 0.000000 ,  37.123 
C/bubble , 0.234924 , 0.148804 , 0.000000 , 0.000000 ,  37.885 
C/bubble , 0.243652 , 0.156738 , 0.000000 , 0.000000 ,  35.867 
C/bubble , 0.232239 , 0.147217 , 0.000000 , 0.000000 ,  38.519 
C/bubble , 0.287231 , 0.191467 , 0.000000 , 0.000000 ,  32.997 
Program, Package , Core(s) , GPU , DRAM? , Time (milisec) 
java/quick , 0.568481 , 0.365845 , 0.000000 , 0.000000 ,  73.837 
java/quick , 0.499146 , 0.304138 , 0.000000 , 0.000000 ,  71.285 
java/quick , 0.547729 , 0.376038 , 0.000000 , 0.000000 ,  62.131 
java/quick , 0.598511 , 0.388733 , 0.000000 , 0.000000 ,  75.484 
java/quick , 0.540955 , 0.350647 , 0.000000 , 0.000000 ,  69.896 
java/quick , 0.536987 , 0.277710 , 0.000000 , 0.000000 ,  94.816 
java/quick , 0.566345 , 0.359985 , 0.000000 , 0.000000 ,  72.983 
java/quick , 0.621704 , 0.395020 , 0.000000 , 0.000000 ,  83.146 
java/quick , 0.629211 , 0.433777 , 0.000000 , 0.000000 ,  70.112 
java/quick , 0.918457 , 0.691162 , 0.000000 , 0.000000 ,  81.726 
Program, Package , Core(s) , GPU , DRAM? , Time (milisec) 
java/bubble , 1.045044 , 0.774658 , 0.000000 , 0.000000 ,  96.261 
java/bubble , 1.192200 , 0.896301 , 0.000000 , 0.000000 ,  98.511 
java/bubble , 1.145569 , 0.841125 , 0.000000 , 0.000000 ,  106.226 
java/bubble , 1.356934 , 1.052490 , 0.000000 , 0.000000 ,  102.25 
java/bubble , 1.809082 , 1.582520 , 0.000000 , 0.000000 ,  74.659 
java/bubble , 0.882446 , 0.635864 , 0.000000 , 0.000000 ,  90.801 
java/bubble , 1.174805 , 0.864136 , 0.000000 , 0.000000 ,  105.68 
java/bubble , 1.313782 , 1.001038 , 0.000000 , 0.000000 ,  105.91 
java/bubble , 1.347717 , 0.989868 , 0.000000 , 0.000000 ,  128.501 
java/bubble , 1.333557 , 1.057129 , 0.000000 , 0.000000 ,  98.224 
